geneSymbol	B.cells	CD4.T.mem.cells	CD4.T.reg.cells	CD8_B.cells	CD8_G.cells	Dendritic.cells	Monocytes.Macrophages	NK1.cells	NK2.cells	NK3.cells	Plasma.cells
GFOD1	1780.84384351855	669.373289396229	1571.74791141349	2264.0585933991	576.837957079829	27.1836257593507	886.053637463186	1203.61111441153	1856.24341982114	3328.24791915362	130.896603233146
GIPR	86.2937268704519	710.033316947949	1167.93734984439	575.201807980329	722.994469157212	303.060692587356	37.5293641917122	229.837214183882	899.653264411143	2501.50466846128	1957.80252835772
GNAQP1	0	58.5625769961343	0	65.0674818278641	658.093708909706	273.121969622666	186.18171064477	26.1904552016097	52.4020943706294	0	0
GNG7	3652.62955376241	31.8604693502285	14.1928882184148	104.450431355256	22.845067607122	5328.72534142083	213.793405020054	181.289053322361	295.265647126816	59.9952642036129	5300.02913091072
GNLY	0	460.004490809013	1989.9802787529	2981.64491120923	6743.96779883879	184.407839610731	333.030844403932	3646.98894724463	14753.7088967923	5724.65450067665	62.881701553178
GPR132	2642.77064703724	3533.17433441962	3398.50997565462	861.156267592258	6287.84525581933	2809.83180315235	1944.99029195366	1623.16943090952	2553.09050169211	3566.10148432964	413.479270212938
GPR155	509.476546698851	3522.25074492812	3343.56976319624	340.352981868828	3818.50112992224	942.426917373165	1024.22481013297	1114.435808408	798.124206568048	1125.44307672735	1253.27081095579
GPR18	9013.34945766313	2522.4388734138	1500.5545527695	1147.3741583047	3582.00275958033	1928.56804373772	326.043395215085	1389.11619222976	1610.3566693128	3072.31067505097	243.313686009848
GPX3	73.1576794545752	770.113059151237	354.135452804641	60.3257220185461	528.032585373705	0	5780.98719583746	149.86050708043	479.680710008069	602.292882838397	107.027222643572
GRAP2	998.5416966438	8209.98780199174	5348.6586003752	3950.80793001373	8244.73297880211	30.3060692587356	143.580810751475	2242.03072357584	4895.81682646366	3554.82577864598	14.8862803676911
GTSE1	210.176758654028	0	137.35053114595	4429.98910185537	0	132.428339003323	1847.61680648327	4587.29016814144	407.879763394467	477.621872826634	387.556609572648
GUCY2D	0	0	0	0	0	1993.95568407778	28.9641038957058	13.9256566681729	0	0	0
GZMA	0	6708.6011129924	3661.53624279911	10642.221314263	12000.4101728048	174.122143377463	452.719086961285	8224.56948321377	15442.9979842829	13784.018325362	253.836746269768
GZMK	99.2276812491613	4084.81560374072	2171.28297986556	7319.95999008445	10475.5019100294	22.4081239367621	151.244464700534	6934.08271252373	8414.56707682222	13577.4388872708	188.131784646855
HAVCR1	119.436984965895	504.609147899333	648.065589456973	259.347918459645	372.270760779692	252.734250303153	40.6849864060303	299.465497524746	396.79470496991	2024.94654145386	0
HCK	771.995401979218	46.7286883803351	23.3495902948115	11.5909684227774	433.277475412347	2279.38375455096	8722.70330434218	84.9592815076606	393.771507217759	0	315.691807797588
HID1	0	856.288042917569	165.50739003087	0	0	471.121622113071	0	0	185.674728611317	0	7189.04677756946
HIST1H3G	185.521408119613	0	182.905123976023	3501.39447253059	0	0	1353.64922914911	4000.36845498928	110.59865109955	0	459.421411347709
HIST1H3J	257.466529351184	176.294597071264	112.627435539679	2489.950762093	379.539645927412	133.714051032482	1201.84126048174	3605.72301051234	392.763774633708	547.829096894692	677.582416736286
HJURP	315.265137981042	0	0	4607.1465169535	235.20035513696	0	1987.70389264032	4824.79288140872	0	189.985003311441	448.128371068771
HK3	19.6030246052315	0	0	43.9929937864506	95.2743160433381	11.3877351154037	8138.34969072648	79.8489487853953	21.1623842650619	0	139.623043448689
HLA-DOB	11696.3366190967	0	339.026894378586	154.634056003871	157.059839798963	2363.87340218138	192.718356660144	638.663831965106	44.3402336982249	74.4622073449096	4199.47102372693
HNMT	0	0	82.8681537913897	108.533613413279	0	234.366935600889	8132.26384788458	37.3054288725367	0	62.3355050058815	24.8960206149317
HNRNPA1P21	238.06559778312	336.81067598813	4669.68914141038	172.942517489849	366.819096918901	0	111.348383848083	676.735810745982	400.321769014087	678.66983265789	0
HOPX	6248.91880225115	2014.79539510016	751.078487816436	3473.47077587572	5244.50063408043	0	262.480147755248	2210.21890237974	9791.38171978131	2596.39079553508	599.814434815416
HSPA13	1851.57640652712	1863.68574046765	2742.89010698462	2070.56845006887	3068.50794450206	2692.6483353519	2302.70261010529	2502.52993409332	2607.75999437685	2357.47348453984	8355.82316638883
HSPA8P5	322.944673393401	822.910408360187	647.378836801243	366.169229719559	947.291496572591	263.570965977488	181.67367891003	317.990453642958	1259.91766320922	673.351103561825	20.2761405008207
