GeneSymbol	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
CCL17	0	NA	NA	0	NA	NA	NA	4777.59280567527	NA	0	5202.31678863279	NA	NA	539.137328333832	NA	NA	3605.07663051489	32876.594666251	2252.21088154668	NA	NA	0
CCL18	NA	0	NA	NA	0	0	NA	0	NA	0	NA	55654.093158579	0	NA	0	15878.6029482116	NA	0	0	51792.3666778511	0	NA
CCL19	77778.1564120723	103191.400070329	NA	NA	1	1	NA	1	117156.525429244	1	1	NA	1	1	NA	1	NA	1	1	1	1	1
CCL20	0	NA	NA	0	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	0	49202.3554120643	0	44709.3677774606
CCL22	NA	1	NA	1	NA	NA	1	1	2930.24565020645	1	1	NA	NA	NA	1	NA	NA	34110.8703669857	NA	NA	1	1
CCL23	NA	0	NA	NA	0	NA	NA	0	0	0	NA	NA	0	NA	NA	544.227864254145	0	0	NA	NA	NA	0
CCL4	1	1	NA	6538.61520222783	1	NA	1	1	1	1	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1
CCL5	1	1	NA	60190.7040117797	1	NA	NA	1	1	1	NA	NA	1	1	1	1	1	NA	1	NA	1	1
CCL7	0	0	NA	NA	0	NA	1213.80747438935	0	0	NA	0	NA	1250.80388353842	334.961528687558	NA	0	NA	NA	0	NA	0	NA
CCL8	0	0	NA	NA	0	NA	5340.99457765254	0	0	NA	NA	0	3353.22231937073	NA	5463.4404315771	NA	0	0	0	NA	0	0
