Mixture	B.cells	CD4.T.mem.cells	CD4.T.reg.cells	CD8_B.cells	CD8_G.cells	Dendritic.cells	Monocytes.Macrophages	NK1.cells	NK2.cells	NK3.cells	Plasma.cells	P-value	Correlation	RMSE
TCGA.EE.A20I.06A	0	0	0.0388885248000455	0.152363964249512	0.0589256677685047	0.0488029240492363	0.147539161008923	0.283890139600171	0.057075952084618	0	0.212513666438989	0	0.511923405334319	0.858219812401128
TCGA.EE.A185.06A	0	0	0.0610570370145103	0.197553768812192	0.016542462236764	0.0421226697408026	0.100473454652566	0.361021650574986	0.0366958895708252	0	0.184533067397353	0	0.472500484927114	0.883200788594369
TCGA.ER.A19H.06A	0	0	0.00852178494703915	0.221892307220853	0.0878319407296252	0.0570387959589252	0.200315961032829	0.231227448029941	0	0	0.193171762080788	0	0.531038687639536	0.846814465579467
TCGA.EB.A5SE.01A	0	0.01734017633987	0	0.149887032176978	0.0263383216646105	0.0337112666100458	0.1120001341917	0.319624174129174	0.0490987292262116	0	0.29200016566141	0	0.564913839531081	0.824449386203313
TCGA.GN.A267.06A	0	0	0.0462511874431759	0.254499964764158	0.0635215243423895	0.0539911096552036	0.155580960112195	0.210618515471605	0	0	0.215536738211273	0	0.496425107687189	0.867762996178403
TCGA.EE.A3JE.06A	0	0	0	0.165645973238763	0.083057736250656	0.0715406936802527	0.22047326246006	0	0.00170284932558295	0.244630732191933	0.212948752852753	0	0.314353087184966	0.971055430037563
TCGA.BF.A9VF.01A	0	0	0.06829572184215	0.10510543645202	0.100454124095393	0.0588495222851632	0.175696843830197	0.348162615652416	0.0292808539761143	0	0.114154881866548	0	0.432385086810915	0.902661651190239
TCGA.FS.A1ZA.06A	0	0.0141137611179081	0	0.122127524729287	0.0266276915733215	0.0551346875091386	0.185229993468173	0.245771127211359	0.0373293582567359	0	0.313665856134077	0	0.523662142991098	0.852336547184017
TCGA.D3.A5GS.06A	0	0	0.046499076581618	0.226532007834744	0.0870071356297547	0.0850985489550908	0.327905266533685	0.0129054014274744	0.0498702526934731	0	0.16418231034416	0	0.501003123767303	0.865320766456042
TCGA.QB.AA9O.06A	0	0	0	0.136598042824345	0.0893713906013884	0.058135388426877	0.255684693830853	0.196622098459095	0.0663414398814781	0	0.197246945975963	0	0.41297327634063	0.912872948590515
TCGA.FW.A3TU.06A	0	0	0.0725862507588326	0.0483047280014461	0.0855288265524513	0.0591246806907793	0.19564861825507	0.170660494690003	0.0382419501611138	0	0.329904450890304	0	0.451919834852418	0.899468491164292
TCGA.ER.A19O.06A	0.008346595598918	0	0.0731038001083462	0.00526937213822727	0.0522095244826508	0.0632169356234914	0.457122444473503	0	0.0632940723078695	0.11192731005389	0.165509945213104	0	0.378771357124233	0.930534033853939
