cell	type
B9_P2_M55_L001	NK2 cells
B9_P4_M55_L001	CD8_B cells
C10_P1_M55_L001	CD8_B cells
C10_P2_M55_L001	B cells
C10_P3_M55_L001	NK3 cells
C10_P4_M55_L001	CD8_G cells
C11_P1_M55_L001	NK2 cells
C11_P2_M55_L001	B cells
C11_P3_M55_L001	CD8_B cells
C12_P1_M55_L001	Dendritic cells
C12_P2_M55_L001	CD8_B cells
C12_P3_M55_L001	CD8_B cells
C12_P4_M55_L001	NK1 cells
C1_P1_M55_L001	unclustered
C1_P2_M55_L001	CD8_G cells
C1_P3_M55_L001	CD8_B cells
C1_P4_M55_L001	CD8_B cells
C2_P2_M55_L001	CD4 T.mem cells
C2_P3_M55_L001	NK2 cells
C2_P4_M55_L001	unclustered
C3_P1_M55_L001	Monocytes/Macrophages
C3_P2_M55_L001	B cells
C3_P3_M55_L001	CD8_B cells
C3_P4_M55_L001	NK1 cells
C4_P1_M55_L001	NK3 cells
C4_P2_M55_L001	CD8_B cells
C4_P3_M55_L001	NK2 cells
C4_P4_M55_L001	B cells
C5_P1_M55_L001	CD8_B cells
C5_P2_M55_L001	NK3 cells
C5_P3_M55_L001	CD8_B cells
C5_P4_M55_L001	CD4 T.mem cells
C6_P1_M55_L001	NK3 cells
C6_P2_M55_L001	CD8_B cells
C6_P3_M55_L001	CD8_G cells
C6_P4_M55_L001	unclustered
C7_P1_M55_L001	CD8_B cells
C7_P2_M55_L001	CD8_B cells
C7_P3_M55_L001	CD8_G cells
C7_P4_M55_L001	CD4 T.reg cells
C8_P1_M55_L001	NK1 cells
C8_P3_M55_L001	CD4 T.mem cells
C8_P4_M55_L001	CD8_B cells
C9_P1_M55_L001	CD4 T.mem cells
C9_P2_M55_L001	CD4 T.mem cells
C9_P4_M55_L001	CD8_B cells
D10_P1_M55_L001	unclustered
D10_P2_M55_L001	CD4 T.reg cells
D10_P3_M55_L001	NK2 cells
D10_P4_M55_L001	NK3 cells
D11_P1_M55_L001	CD8_B cells
D11_P2_M55_L001	CD8_B cells
D11_P3_M55_L001	CD8_B cells
D11_P4_M55_L001	CD4 T.reg cells
D12_P1_M55_L001	NK2 cells
D12_P2_M55_L001	Monocytes/Macrophages
D12_P3_M55_L001	NK1 cells
D12_P4_M55_L001	CD8_G cells
D1_P1_M55_L001	unclustered
D1_P2_M55_L001	CD8_B cells
D1_P3_M55_L001	unclustered
D1_P4_M55_L001	CD8_B cells
D2_P1_M55_L001	CD8_B cells
D2_P2_M55_L001	CD8_B cells
D2_P3_M55_L001	CD8_B cells
D2_P4_M55_L001	CD8_B cells
D3_P1_M55_L001	B cells
D3_P2_M55_L001	CD8_B cells
D3_P3_M55_L001	CD8_G cells
D3_P4_M55_L001	NK3 cells
D4_P1_M55_L001	NK3 cells
D4_P2_M55_L001	NK3 cells
D4_P3_M55_L001	CD8_B cells
D4_P4_M55_L001	CD8_B cells
D5_P2_M55_L001	CD8_B cells
D5_P3_M55_L001	CD8_G cells
D5_P4_M55_L001	CD4 T.reg cells
D6_P2_M55_L001	Plasma cells
D6_P3_M55_L001	CD4 T.reg cells
D6_P4_M55_L001	NK3 cells
D7_P1_M55_L001	CD8_B cells
D7_P2_M55_L001	B cells
D7_P3_M55_L001	CD8_B cells
D7_P4_M55_L001	CD8_B cells
D8_P1_M55_L001	CD8_B cells
D8_P2_M55_L001	B cells
D8_P3_M55_L001	CD8_B cells
D8_P4_M55_L001	CD8_B cells
D9_P1_M55_L001	NK3 cells
D9_P2_M55_L001	NK2 cells
D9_P3_M55_L001	CD4 T.reg cells
D9_P4_M55_L001	CD8_B cells
E10_P1_M55_L001	unclustered
E10_P2_M55_L001	Monocytes/Macrophages
E10_P3_M55_L001	CD8_G cells
E10_P4_M55_L001	NK3 cells
E11_P1_M55_L001	CD8_B cells
E11_P2_M55_L001	CD4 T.reg cells
E11_P3_M55_L001	NK3 cells
E11_P4_M55_L001	NK1 cells
E12_P1_M55_L001	CD8_B cells
E12_P2_M55_L001	Plasma cells
E12_P3_M55_L001	CD8_B cells
E12_P4_M55_L001	CD8_G cells
E1_P1_M55_L001	CD4 T.reg cells
E1_P4_M55_L001	CD8_B cells
E2_P1_M55_L001	NK3 cells
E2_P2_M55_L001	CD8_B cells
E2_P3_M55_L001	CD8_B cells
E2_P4_M55_L001	B cells
E3_P1_M55_L001	CD4 T.reg cells
E3_P2_M55_L001	CD8_B cells
E3_P3_M55_L001	B cells
E3_P4_M55_L001	CD8_B cells
E4_P1_M55_L001	CD8_G cells
E4_P2_M55_L001	CD8_B cells
E4_P3_M55_L001	NK3 cells
E4_P4_M55_L001	NK3 cells
E5_P1_M55_L001	NK3 cells
E5_P2_M55_L001	NK3 cells
E5_P3_M55_L001	NK3 cells
E5_P4_M55_L001	CD8_B cells
E6_P1_M55_L001	B cells
E6_P2_M55_L001	CD8_B cells
E6_P3_M55_L001	NK3 cells
E6_P4_M55_L001	NK3 cells
E7_P1_M55_L001	CD8_B cells
E7_P2_M55_L001	CD4 T.reg cells
E7_P3_M55_L001	CD8_G cells
E8_P1_M55_L001	CD8_G cells
E8_P2_M55_L001	CD8_G cells
E8_P3_M55_L001	NK3 cells
E8_P4_M55_L001	B cells
E9_P1_M55_L001	NK3 cells
E9_P3_M55_L001	CD8_B cells
E9_P4_M55_L001	CD8_G cells
F10_P1_M55_L001	CD8_B cells
F10_P2_M55_L001	CD8_B cells
F10_P4_M55_L001	CD8_B cells
F11_P1_M55_L001	CD8_G cells
F11_P2_M55_L001	CD8_B cells
F12_P1_M55_L001	unclustered
F12_P2_M55_L001	CD8_B cells
