cell	type
D8_P4_M29_L001	B cells
D8_P5_M29_L001	Monocytes/Macrophages
D9_P1_M29_L001	NK1 cells
D9_P2_M29_L001	B cells
D9_P4_M29_L001	B cells
D9_P5_M29_L001	B cells
E10_P2_M29_L001	B cells
E10_P4_M29_L001	B cells
E10_P5_M29_L001	B cells
E11_P1_M29_L001	B cells
E11_P2_M29_L001	B cells
E11_P4_M29_L001	B cells
E11_P5_M29_L001	B cells
E12_P1_M29_L001	B cells
E12_P2_M29_L001	B cells
E12_P5_M29_L001	CD4 T.reg cells
E1_P1_M29_L001	CD8_G cells
E1_P5_M29_L001	CD8_G cells
E2_P1_M29_L001	B cells
E2_P2_M29_L001	CD8_G cells
E2_P4_M29_L001	NK2 cells
E2_P5_M29_L001	unclustered
E3_P1_M29_L001	CD8_G cells
E3_P2_M29_L001	CD8_G cells
E3_P4_M29_L001	B cells
E3_P5_M29_L001	B cells
E4_P1_M29_L001	CD8_G cells
E4_P4_M29_L001	B cells
E5_P1_M29_L001	CD4 T.mem cells
E5_P2_M29_L001	B cells
E5_P5_M29_L001	CD8_G cells
E6_P1_M29_L001	CD8_G cells
E6_P2_M29_L001	CD4 T.mem cells
E6_P5_M29_L001	Monocytes/Macrophages
E7_P1_M29_L001	B cells
E7_P2_M29_L001	B cells
E7_P4_M29_L001	CD4 T.reg cells
E8_P1_M29_L001	CD8_G cells
E8_P2_M29_L001	B cells
E8_P4_M29_L001	B cells
E8_P5_M29_L001	B cells
E9_P1_M29_L001	B cells
E9_P2_M29_L001	B cells
E9_P4_M29_L001	CD8_G cells
E9_P5_M29_L001	Monocytes/Macrophages
F10_P1_M29_L001	B cells
F10_P2_M29_L001	B cells
F10_P4_M29_L001	B cells
F11_P1_M29_L001	B cells
F11_P4_M29_L001	B cells
F11_P5_M29_L001	B cells
F12_P2_M29_L001	Monocytes/Macrophages
F12_P4_M29_L001	CD8_G cells
F12_P5_M29_L001	CD8_G cells
F1_P1_M29_L001	CD8_B cells
F1_P4_M29_L001	B cells
F2_P1_M29_L001	CD8_G cells
F2_P4_M29_L001	NK2 cells
F2_P5_M29_L001	CD4 T.mem cells
F3_P1_M29_L001	NK2 cells
F3_P2_M29_L001	B cells
F3_P5_M29_L001	CD4 T.reg cells
F4_P1_M29_L001	B cells
F4_P2_M29_L001	Plasma cells
F4_P5_M29_L001	CD4 T.mem cells
F5_P1_M29_L001	CD8_G cells
F5_P2_M29_L001	B cells
F5_P4_M29_L001	CD4 T.reg cells
F6_P1_M29_L001	B cells
F6_P2_M29_L001	B cells
F6_P4_M29_L001	NK2 cells
F7_P1_M29_L001	B cells
F7_P2_M29_L001	B cells
F7_P4_M29_L001	B cells
F7_P5_M29_L001	B cells
F8_P1_M29_L001	CD8_G cells
F8_P2_M29_L001	B cells
F9_P1_M29_L001	B cells
F9_P2_M29_L001	B cells
F9_P4_M29_L001	B cells
F9_P5_M29_L001	Monocytes/Macrophages
G10_P1_M29_L001	NK2 cells
G10_P2_M29_L001	B cells
G10_P4_M29_L001	B cells
G10_P5_M29_L001	B cells
G11_P1_M29_L001	B cells
G11_P2_M29_L001	B cells
G11_P4_M29_L001	NK2 cells
G11_P5_M29_L001	B cells
G12_P1_M29_L001	CD4 T.reg cells
G12_P2_M29_L001	B cells
G12_P4_M29_L001	B cells
G12_P5_M29_L001	Dendritic cells
G1_P1_M29_L001	NK2 cells
G1_P4_M29_L001	NK2 cells
G1_P5_M29_L001	B cells
G2_P2_M29_L001	B cells
G2_P4_M29_L001	CD4 T.reg cells
G2_P5_M29_L001	CD4 T.mem cells
G3_P1_M29_L001	CD8_G cells
G3_P2_M29_L001	B cells
G3_P4_M29_L001	CD8_G cells
G3_P5_M29_L001	NK2 cells
G4_P1_M29_L001	B cells
G4_P4_M29_L001	B cells
G4_P5_M29_L001	NK2 cells
G5_P1_M29_L001	B cells
G5_P2_M29_L001	B cells
G5_P4_M29_L001	B cells
G5_P5_M29_L001	unclustered
G6_P1_M29_L001	B cells
G6_P4_M29_L001	B cells
G6_P5_M29_L001	B cells
G7_P1_M29_L001	CD4 T.mem cells
G7_P2_M29_L001	B cells
G7_P5_M29_L001	B cells
G8_P1_M29_L001	B cells
G8_P2_M29_L001	CD4 T.reg cells
G8_P4_M29_L001	B cells
G8_P5_M29_L001	NK2 cells
G9_P1_M29_L001	NK2 cells
G9_P2_M29_L001	B cells
G9_P4_M29_L001	CD8_G cells
G9_P5_M29_L001	B cells
H10_P2_M29_L001	B cells
H10_P4_M29_L001	B cells
H11_P2_M29_L001	NK2 cells
H11_P4_M29_L001	B cells
H11_P5_M29_L001	B cells
H12_P1_M29_L001	B cells
H12_P2_M29_L001	CD4 T.reg cells
H12_P4_M29_L001	CD8_B cells
H12_P5_M29_L001	CD8_G cells
H1_P2_M29_L001	CD8_G cells
H1_P5_M29_L001	CD8_B cells
H2_P1_M29_L001	B cells
H2_P2_M29_L001	B cells
H2_P4_M29_L001	B cells
H2_P5_M29_L001	NK2 cells
H3_P1_M29_L001	unclustered
H3_P2_M29_L001	NK2 cells
H3_P4_M29_L001	NK2 cells
H3_P5_M29_L001	unclustered
H4_P1_M29_L001	B cells
H4_P2_M29_L001	B cells
H4_P4_M29_L001	unclustered
H4_P5_M29_L001	B cells
H5_P1_M29_L001	B cells
H5_P2_M29_L001	B cells
H5_P4_M29_L001	B cells
H5_P5_M29_L001	B cells
H6_P1_M29_L001	B cells
H6_P2_M29_L001	B cells
H6_P4_M29_L001	B cells
H6_P5_M29_L001	B cells
H7_P1_M29_L001	B cells
H7_P2_M29_L001	B cells
H7_P4_M29_L001	B cells
H7_P5_M29_L001	B cells
H8_P1_M29_L001	B cells
H8_P2_M29_L001	NK2 cells
H8_P4_M29_L001	B cells
H8_P5_M29_L001	unclustered
H9_P1_M29_L001	CD8_G cells
H9_P2_M29_L001	B cells
H9_P4_M29_L001	CD8_G cells
A10_P1_M91_L001	CD8_B cells
A10_P4_M91_L001	NK2 cells
A11_P1_M91_L001	CD4 T.reg cells
A11_P3_M91_L001	Monocytes/Macrophages
A11_P4_M91_L001	CD8_B cells
A11_P5_M91_L001	unclustered
A12_P1_M91_L001	Monocytes/Macrophages
A12_P3_M91_L001	CD8_B cells
A12_P5_M91_L001	CD8_B cells
A2_P1_M91_L001	NK3 cells
A2_P3_M91_L001	CD8_B cells
A2_P4_M91_L001	CD8_B cells
A3_P1_M91_L001	CD8_B cells
A3_P3_M91_L001	CD8_B cells
A3_P4_M91_L001	CD4 T.mem cells
A3_P5_M91_L001	CD8_G cells
A4_P1_M91_L001	CD8_B cells
A4_P3_M91_L001	CD4 T.reg cells
A4_P5_M91_L001	CD8_B cells
A5_P1_M91_L001	CD8_B cells
A5_P3_M91_L001	CD8_B cells
A5_P4_M91_L001	NK3 cells
A6_P1_M91_L001	CD8_B cells
A6_P3_M91_L001	NK3 cells
A6_P4_M91_L001	CD8_B cells
A6_P5_M91_L001	CD8_G cells
A7_P1_M91_L001	CD8_B cells
A7_P3_M91_L001	CD8_B cells
A7_P5_M91_L001	CD4 T.reg cells
A8_P1_M91_L001	CD8_B cells
A8_P3_M91_L001	CD8_B cells
A8_P4_M91_L001	CD8_B cells
A8_P5_M91_L001	CD8_B cells
A9_P1_M91_L001	CD8_B cells
A9_P3_M91_L001	CD4 T.reg cells
A9_P4_M91_L001	CD8_B cells
A9_P5_M91_L001	Dendritic cells
B10_P1_M91_L001	CD8_B cells
B10_P3_M91_L001	CD4 T.reg cells
B10_P4_M91_L001	CD8_B cells
B10_P5_M91_L001	CD8_B cells
B11_P1_M91_L001	unclustered
B11_P3_M91_L001	NK3 cells
B11_P4_M91_L001	CD8_B cells
B11_P5_M91_L001	unclustered
B12_P1_M91_L001	CD8_B cells
B12_P3_M91_L001	CD8_B cells
B12_P4_M91_L001	CD8_B cells
B12_P5_M91_L001	CD4 T.reg cells
B1_P1_M91_L001	CD8_B cells
B1_P3_M91_L001	NK3 cells
B1_P4_M91_L001	CD8_B cells
B1_P5_M91_L001	unclustered
B2_P1_M91_L001	CD8_B cells
B2_P3_M91_L001	CD8_B cells
B2_P4_M91_L001	CD8_B cells
B2_P5_M91_L001	unclustered
B3_P1_M91_L001	CD8_B cells
B3_P3_M91_L001	CD8_B cells
B3_P4_M91_L001	NK2 cells
B3_P5_M91_L001	unclustered
B4_P1_M91_L001	unclustered
B4_P3_M91_L001	CD8_B cells
B4_P4_M91_L001	CD4 T.reg cells
B4_P5_M91_L001	CD8_B cells
B5_P1_M91_L001	CD8_B cells
B5_P3_M91_L001	NK2 cells
B5_P4_M91_L001	CD8_B cells
B5_P5_M91_L001	CD8_G cells
B6_P1_M91_L001	CD4 T.reg cells
B6_P3_M91_L001	CD8_B cells
B6_P4_M91_L001	CD4 T.reg cells
B6_P5_M91_L001	unclustered
B7_P1_M91_L001	unclustered
B7_P3_M91_L001	CD8_B cells
B7_P5_M91_L001	CD4 T.reg cells
B8_P1_M91_L001	CD8_B cells
B8_P3_M91_L001	Monocytes/Macrophages
B8_P4_M91_L001	CD8_B cells
B9_P1_M91_L001	CD8_G cells
B9_P3_M91_L001	CD8_B cells
B9_P4_M91_L001	CD8_B cells
B9_P5_M91_L001	CD8_B cells
C10_P3_M91_L001	CD8_B cells
C10_P5_M91_L001	CD4 T.reg cells
C11_P1_M91_L001	CD8_B cells
C11_P3_M91_L001	CD4 T.reg cells
C11_P4_M91_L001	CD8_B cells
C11_P5_M91_L001	CD8_B cells
C12_P1_M91_L001	CD4 T.reg cells
C12_P4_M91_L001	NK3 cells
C12_P5_M91_L001	CD4 T.reg cells
C1_P1_M91_L001	CD4 T.reg cells
C1_P3_M91_L001	Dendritic cells
C1_P5_M91_L001	CD8_B cells
C2_P1_M91_L001	unclustered
C2_P3_M91_L001	CD8_B cells
C2_P4_M91_L001	CD8_B cells
C3_P1_M91_L001	CD8_B cells
C3_P3_M91_L001	CD4 T.reg cells
C3_P4_M91_L001	CD8_B cells
C3_P5_M91_L001	CD8_B cells
C4_P3_M91_L001	CD4 T.reg cells
C4_P4_M91_L001	CD8_B cells
C4_P5_M91_L001	CD8_B cells
C5_P1_M91_L001	CD8_B cells
C5_P3_M91_L001	NK3 cells
C5_P4_M91_L001	Dendritic cells
C5_P5_M91_L001	CD8_B cells
C6_P1_M91_L001	CD8_B cells
C6_P3_M91_L001	CD8_B cells
C6_P4_M91_L001	CD8_B cells
C6_P5_M91_L001	unclustered
C7_P1_M91_L001	CD8_B cells
C7_P3_M91_L001	CD4 T.mem cells
C7_P4_M91_L001	CD8_G cells
C7_P5_M91_L001	CD8_B cells
C8_P3_M91_L001	CD4 T.reg cells
C8_P4_M91_L001	CD4 T.reg cells
C8_P5_M91_L001	CD8_B cells
C9_P1_M91_L001	CD8_B cells
C9_P4_M91_L001	CD8_B cells
C9_P5_M91_L001	CD8_G cells
D10_P1_M91_L001	CD8_B cells
D10_P3_M91_L001	CD4 T.reg cells
D10_P4_M91_L001	CD8_B cells
D10_P5_M91_L001	NK2 cells
D11_P1_M91_L001	CD4 T.reg cells
D11_P3_M91_L001	CD4 T.reg cells
D11_P4_M91_L001	NK2 cells
D11_P5_M91_L001	NK2 cells
D12_P1_M91_L001	unclustered
D12_P3_M91_L001	CD8_B cells
D12_P4_M91_L001	CD8_B cells
D12_P5_M91_L001	CD4 T.reg cells
D1_P1_M91_L001	CD8_B cells
D1_P3_M91_L001	CD8_B cells
D1_P4_M91_L001	CD8_B cells
D1_P5_M91_L001	CD8_B cells
D2_P1_M91_L001	Dendritic cells
D2_P3_M91_L001	CD4 T.mem cells
D2_P4_M91_L001	CD8_B cells
D2_P5_M91_L001	CD4 T.mem cells
D3_P1_M91_L001	unclustered
D3_P3_M91_L001	CD8_B cells
D3_P4_M91_L001	CD8_B cells
D3_P5_M91_L001	CD8_B cells
D4_P1_M91_L001	NK3 cells
D4_P3_M91_L001	CD4 T.reg cells
D4_P4_M91_L001	CD8_B cells
D4_P5_M91_L001	CD8_B cells
D5_P1_M91_L001	CD8_B cells
D5_P3_M91_L001	NK3 cells
D5_P4_M91_L001	CD4 T.reg cells
D5_P5_M91_L001	NK3 cells
D6_P3_M91_L001	CD8_B cells
D6_P4_M91_L001	CD8_B cells
D6_P5_M91_L001	Monocytes/Macrophages
D7_P1_M91_L001	NK3 cells
D7_P4_M91_L001	CD4 T.mem cells
D7_P5_M91_L001	CD8_B cells
D8_P1_M91_L001	CD8_B cells
D8_P3_M91_L001	unclustered
D8_P4_M91_L001	CD8_G cells
D8_P5_M91_L001	NK3 cells
D9_P1_M91_L001	CD8_B cells
D9_P3_M91_L001	CD8_B cells
D9_P4_M91_L001	CD8_B cells
D9_P5_M91_L001	NK3 cells
E10_P1_M91_L001	CD8_B cells
E10_P3_M91_L001	NK3 cells
E10_P4_M91_L001	Monocytes/Macrophages
E10_P5_M91_L001	CD8_B cells
E11_P3_M91_L001	NK3 cells
E11_P4_M91_L001	CD8_B cells
E11_P5_M91_L001	NK3 cells
E12_P1_M91_L001	CD8_B cells
E12_P3_M91_L001	CD4 T.reg cells
E12_P4_M91_L001	CD4 T.mem cells
E1_P1_M91_L001	CD8_B cells
E1_P3_M91_L001	CD4 T.mem cells
E1_P4_M91_L001	CD8_B cells
E1_P5_M91_L001	unclustered
E2_P1_M91_L001	CD8_G cells
E2_P3_M91_L001	CD8_B cells
E2_P4_M91_L001	CD4 T.reg cells
E2_P5_M91_L001	CD8_B cells
E3_P1_M91_L001	unclustered
E3_P3_M91_L001	NK3 cells
E3_P4_M91_L001	Dendritic cells
E4_P1_M91_L001	CD8_B cells
E4_P3_M91_L001	CD8_B cells
E4_P4_M91_L001	CD8_G cells
E4_P5_M91_L001	unclustered
E5_P3_M91_L001	CD8_B cells
E5_P4_M91_L001	CD8_B cells
E5_P5_M91_L001	unclustered
E6_P1_M91_L001	CD8_B cells
E6_P3_M91_L001	NK3 cells
E6_P4_M91_L001	Monocytes/Macrophages
E6_P5_M91_L001	unclustered
E7_P1_M91_L001	NK2 cells
E7_P3_M91_L001	CD8_B cells
E7_P4_M91_L001	CD8_B cells
E7_P5_M91_L001	CD4 T.mem cells
E8_P1_M91_L001	NK3 cells
E8_P3_M91_L001	CD8_B cells
E8_P5_M91_L001	CD4 T.reg cells
E9_P1_M91_L001	CD8_B cells
E9_P3_M91_L001	NK3 cells
E9_P4_M91_L001	CD8_B cells
E9_P5_M91_L001	CD8_B cells
F10_P1_M91_L001	CD8_B cells
F10_P3_M91_L001	NK3 cells
F10_P4_M91_L001	unclustered
F10_P5_M91_L001	unclustered
F11_P1_M91_L001	CD8_B cells
F11_P3_M91_L001	Dendritic cells
F11_P4_M91_L001	CD8_B cells
F11_P5_M91_L001	Monocytes/Macrophages
F12_P1_M91_L001	NK2 cells
F12_P3_M91_L001	unclustered
F12_P4_M91_L001	NK3 cells
F12_P5_M91_L001	CD8_B cells
F1_P1_M91_L001	unclustered
F1_P3_M91_L001	NK3 cells
F1_P4_M91_L001	CD8_B cells
F2_P3_M91_L001	CD8_B cells
F2_P5_M91_L001	CD4 T.reg cells
F3_P1_M91_L001	CD8_B cells
F3_P4_M91_L001	CD8_B cells
F4_P1_M91_L001	unclustered
F4_P3_M91_L001	CD8_B cells
F4_P5_M91_L001	CD8_B cells
F5_P1_M91_L001	CD8_G cells
F5_P3_M91_L001	CD4 T.mem cells
F5_P4_M91_L001	CD8_B cells
F5_P5_M91_L001	NK1 cells
F6_P1_M91_L001	CD8_G cells
F6_P3_M91_L001	NK3 cells
F6_P4_M91_L001	CD4 T.reg cells
F6_P5_M91_L001	CD8_G cells
F7_P1_M91_L001	Dendritic cells
F7_P3_M91_L001	NK3 cells
F7_P4_M91_L001	NK2 cells
F7_P5_M91_L001	CD8_B cells
F8_P1_M91_L001	CD8_B cells
F8_P3_M91_L001	CD8_G cells
F8_P4_M91_L001	unclustered
F8_P5_M91_L001	CD8_B cells
F9_P1_M91_L001	NK3 cells
F9_P3_M91_L001	CD8_B cells
F9_P4_M91_L001	CD8_B cells
F9_P5_M91_L001	CD4 T.reg cells
G10_P1_M91_L001	NK3 cells
G10_P3_M91_L001	CD4 T.reg cells
G10_P5_M91_L001	CD8_B cells
G11_P1_M91_L001	CD8_B cells
G11_P3_M91_L001	CD8_B cells
G11_P4_M91_L001	CD8_B cells
G11_P5_M91_L001	CD8_G cells
G12_P1_M91_L001	CD8_B cells
G12_P3_M91_L001	Monocytes/Macrophages
G12_P5_M91_L001	CD8_B cells
G1_P1_M91_L001	CD8_B cells
G1_P3_M91_L001	Dendritic cells
G1_P4_M91_L001	NK2 cells
G2_P1_M91_L001	CD8_B cells
G2_P3_M91_L001	CD8_G cells
G2_P4_M91_L001	CD4 T.reg cells
G2_P5_M91_L001	CD4 T.mem cells
G3_P1_M91_L001	NK3 cells
G3_P3_M91_L001	Monocytes/Macrophages
G3_P4_M91_L001	CD8_B cells
G3_P5_M91_L001	CD8_B cells
G4_P1_M91_L001	CD8_B cells
G4_P3_M91_L001	CD8_B cells
G4_P4_M91_L001	CD4 T.reg cells
G4_P5_M91_L001	CD4 T.mem cells
G5_P1_M91_L001	CD8_B cells
G5_P3_M91_L001	unclustered
G5_P4_M91_L001	NK2 cells
G5_P5_M91_L001	NK3 cells
G6_P1_M91_L001	NK3 cells
G6_P3_M91_L001	CD8_B cells
G6_P4_M91_L001	unclustered
G6_P5_M91_L001	CD4 T.mem cells
G7_P1_M91_L001	NK1 cells
G7_P3_M91_L001	CD8_B cells
G7_P4_M91_L001	CD8_B cells
G7_P5_M91_L001	CD8_B cells
G8_P1_M91_L001	NK2 cells
G8_P3_M91_L001	CD8_B cells
G8_P4_M91_L001	CD4 T.mem cells
G8_P5_M91_L001	NK3 cells
G9_P3_M91_L001	CD8_G cells
G9_P4_M91_L001	CD8_B cells
G9_P5_M91_L001	CD8_B cells
H10_P1_M91_L001	CD8_B cells
H10_P3_M91_L001	CD8_B cells
H10_P4_M91_L001	CD8_B cells
H10_P5_M91_L001	unclustered
H11_P1_M91_L001	Monocytes/Macrophages
H11_P3_M91_L001	CD8_B cells
H11_P4_M91_L001	CD8_B cells
H11_P5_M91_L001	CD8_B cells
H12_P1_M91_L001	CD4 T.reg cells
H12_P4_M91_L001	CD8_G cells
H12_P5_M91_L001	Monocytes/Macrophages
H1_P1_M91_L001	CD8_B cells
H1_P3_M91_L001	CD8_B cells
H1_P5_M91_L001	CD8_B cells
H2_P1_M91_L001	CD4 T.reg cells
H2_P3_M91_L001	CD8_B cells
H2_P4_M91_L001	CD8_B cells
H2_P5_M91_L001	NK1 cells
H3_P1_M91_L001	CD4 T.mem cells
H3_P3_M91_L001	CD4 T.reg cells
H3_P4_M91_L001	CD8_B cells
H3_P5_M91_L001	CD8_B cells
H4_P1_M91_L001	CD8_B cells
H4_P3_M91_L001	CD8_B cells
H4_P4_M91_L001	CD8_B cells
H4_P5_M91_L001	CD4 T.reg cells
H5_P1_M91_L001	CD4 T.reg cells
H5_P3_M91_L001	CD8_B cells
H5_P4_M91_L001	CD8_B cells
H5_P5_M91_L001	CD8_B cells
H6_P1_M91_L001	CD8_B cells
H6_P3_M91_L001	NK3 cells
H6_P4_M91_L001	Monocytes/Macrophages
H6_P5_M91_L001	unclustered
H7_P1_M91_L001	CD8_B cells
H7_P3_M91_L001	CD8_B cells
H7_P4_M91_L001	unclustered
H7_P5_M91_L001	CD8_B cells
H8_P1_M91_L001	CD8_B cells
H8_P3_M91_L001	CD8_B cells
H8_P4_M91_L001	NK3 cells
H8_P5_M91_L001	NK3 cells
H9_P1_M91_L001	NK3 cells
H9_P3_M91_L001	NK3 cells
H9_P5_M91_L001	unclustered
A10_P1_M81_L001	CD8_G cells
A10_P2_M81_L001	CD4 T.reg cells
A10_P3_M81_L001	NK2 cells
A10_P4_M81_L001	CD8_G cells
A11_P1_M81_L001	CD8_G cells
A11_P2_M81_L001	CD8_G cells
A11_P3_M81_L001	CD8_G cells
A12_P1_M81_L001	unclustered
A12_P2_M81_L001	NK2 cells
A12_P3_M81_L001	CD8_G cells
A12_P4_M81_L001	CD4 T.mem cells
A1_P1_M81_L001	CD8_B cells
A1_P2_M81_L001	unclustered
A1_P4_M81_L001	CD8_G cells
A2_P2_M81_L001	CD8_B cells
A2_P3_M81_L001	CD4 T.reg cells
A2_P4_M81_L001	CD4 T.mem cells
A3_P1_M81_L001	CD4 T.mem cells
A3_P3_M81_L001	NK2 cells
A3_P4_M81_L001	CD8_B cells
A4_P1_M81_L001	CD4 T.mem cells
A4_P2_M81_L001	CD4 T.reg cells
A4_P3_M81_L001	NK2 cells
A4_P4_M81_L001	unclustered
A5_P2_M81_L001	CD8_G cells
A5_P4_M81_L001	CD4 T.mem cells
A6_P1_M81_L001	CD4 T.mem cells
A6_P2_M81_L001	CD8_G cells
A6_P3_M81_L001	CD4 T.mem cells
A6_P4_M81_L001	unclustered
A7_P1_M81_L001	NK2 cells
A7_P2_M81_L001	CD4 T.reg cells
A7_P3_M81_L001	CD8_G cells
A7_P4_M81_L001	NK2 cells
A8_P1_M81_L001	CD4 T.mem cells
A8_P2_M81_L001	CD4 T.mem cells
A8_P3_M81_L001	CD8_G cells
A8_P4_M81_L001	CD8_G cells
A9_P1_M81_L001	NK2 cells
A9_P2_M81_L001	CD4 T.mem cells
A9_P3_M81_L001	NK2 cells
A9_P4_M81_L001	unclustered
B10_P1_M81_L001	CD4 T.mem cells
B10_P2_M81_L001	CD8_G cells
B10_P3_M81_L001	unclustered
B10_P4_M81_L001	CD8_G cells
B11_P1_M81_L001	CD8_G cells
B11_P2_M81_L001	CD4 T.mem cells
B11_P3_M81_L001	CD8_G cells
B11_P4_M81_L001	CD8_G cells
B12_P1_M81_L001	Monocytes/Macrophages
B12_P2_M81_L001	NK2 cells
B12_P3_M81_L001	NK2 cells
B12_P4_M81_L001	CD4 T.mem cells
B1_P1_M81_L001	NK2 cells
B1_P3_M81_L001	CD4 T.reg cells
B1_P4_M81_L001	CD8_G cells
B2_P1_M81_L001	CD4 T.reg cells
B2_P2_M81_L001	NK2 cells
B2_P4_M81_L001	CD4 T.mem cells
B3_P2_M81_L001	CD8_G cells
B3_P4_M81_L001	unclustered
B4_P1_M81_L001	unclustered
B5_P2_M81_L001	unclustered
B5_P4_M81_L001	CD4 T.reg cells
B6_P1_M81_L001	CD8_B cells
B6_P3_M81_L001	Dendritic cells
B7_P1_M81_L001	CD8_G cells
B7_P2_M81_L001	CD4 T.mem cells
B7_P3_M81_L001	CD4 T.mem cells
B7_P4_M81_L001	Monocytes/Macrophages
B8_P1_M81_L001	unclustered
B8_P2_M81_L001	unclustered
B8_P4_M81_L001	CD4 T.reg cells
B9_P1_M81_L001	NK2 cells
B9_P2_M81_L001	CD8_G cells
B9_P3_M81_L001	CD8_G cells
C10_P1_M81_L001	CD4 T.mem cells
C10_P2_M81_L001	CD4 T.reg cells
C10_P3_M81_L001	CD4 T.mem cells
C10_P4_M81_L001	CD8_G cells
C11_P1_M81_L001	CD8_G cells
C11_P2_M81_L001	CD8_G cells
C11_P3_M81_L001	CD4 T.reg cells
C11_P4_M81_L001	CD8_G cells
C12_P1_M81_L001	CD8_B cells
C12_P2_M81_L001	CD4 T.mem cells
C12_P3_M81_L001	CD4 T.mem cells
C12_P4_M81_L001	B cells
C1_P1_M81_L001	CD4 T.mem cells
C1_P2_M81_L001	CD4 T.reg cells
C1_P3_M81_L001	NK3 cells
C1_P4_M81_L001	CD4 T.reg cells
C2_P1_M81_L001	unclustered
C2_P2_M81_L001	CD8_B cells
C2_P3_M81_L001	unclustered
C2_P4_M81_L001	CD4 T.mem cells
C3_P1_M81_L001	CD4 T.mem cells
C3_P2_M81_L001	NK2 cells
C3_P3_M81_L001	CD8_G cells
C3_P4_M81_L001	CD4 T.mem cells
C4_P1_M81_L001	CD8_B cells
C4_P2_M81_L001	CD4 T.mem cells
C4_P3_M81_L001	CD4 T.reg cells
C4_P4_M81_L001	CD4 T.reg cells
C5_P1_M81_L001	CD4 T.mem cells
C5_P2_M81_L001	CD8_G cells
C5_P3_M81_L001	CD8_G cells
C5_P4_M81_L001	CD8_G cells
C6_P1_M81_L001	CD8_G cells
C6_P3_M81_L001	CD8_G cells
C7_P1_M81_L001	CD4 T.mem cells
C7_P2_M81_L001	CD4 T.reg cells
C7_P4_M81_L001	NK2 cells
C8_P1_M81_L001	CD4 T.reg cells
C8_P2_M81_L001	CD4 T.reg cells
C8_P3_M81_L001	unclustered
C9_P1_M81_L001	unclustered
C9_P2_M81_L001	CD8_G cells
C9_P3_M81_L001	CD8_B cells
C9_P4_M81_L001	CD8_G cells
D10_P1_M81_L001	CD4 T.mem cells
D10_P2_M81_L001	CD4 T.reg cells
D10_P3_M81_L001	CD4 T.reg cells
D10_P4_M81_L001	NK2 cells
D11_P1_M81_L001	CD4 T.mem cells
D11_P2_M81_L001	CD4 T.reg cells
D11_P3_M81_L001	CD8_B cells
D11_P4_M81_L001	CD4 T.reg cells
D12_P1_M81_L001	CD4 T.reg cells
D12_P2_M81_L001	CD4 T.mem cells
D12_P3_M81_L001	CD4 T.reg cells
D12_P4_M81_L001	CD4 T.reg cells
D1_P1_M81_L001	CD4 T.mem cells
D1_P3_M81_L001	CD4 T.reg cells
D1_P4_M81_L001	CD4 T.mem cells
D2_P1_M81_L001	unclustered
D2_P2_M81_L001	CD8_G cells
D2_P4_M81_L001	CD4 T.reg cells
D3_P1_M81_L001	CD8_G cells
D3_P3_M81_L001	CD4 T.reg cells
D4_P1_M81_L001	NK2 cells
D4_P2_M81_L001	CD8_B cells
D4_P4_M81_L001	CD8_G cells
D5_P1_M81_L001	CD8_G cells
D5_P2_M81_L001	NK2 cells
D5_P3_M81_L001	CD8_G cells
D5_P4_M81_L001	NK2 cells
D6_P2_M81_L001	CD4 T.reg cells
D6_P3_M81_L001	CD8_G cells
D7_P1_M81_L001	CD4 T.mem cells
D7_P2_M81_L001	CD8_G cells
D7_P3_M81_L001	CD8_B cells
D7_P4_M81_L001	CD4 T.mem cells
D8_P2_M81_L001	CD4 T.mem cells
D8_P3_M81_L001	CD4 T.reg cells
D8_P4_M81_L001	CD8_G cells
D9_P2_M81_L001	NK2 cells
D9_P3_M81_L001	CD8_G cells
D9_P4_M81_L001	CD8_G cells
E10_P1_M81_L001	unclustered
E10_P2_M81_L001	CD4 T.reg cells
E10_P3_M81_L001	CD4 T.reg cells
E10_P4_M81_L001	NK2 cells
E11_P1_M81_L001	CD8_G cells
E11_P2_M81_L001	CD4 T.mem cells
E11_P3_M81_L001	CD4 T.reg cells
E11_P4_M81_L001	CD8_G cells
E12_P1_M81_L001	CD8_G cells
E12_P3_M81_L001	NK3 cells
E12_P4_M81_L001	CD4 T.reg cells
E1_P1_M81_L001	unclustered
E1_P2_M81_L001	CD4 T.reg cells
E1_P3_M81_L001	CD4 T.reg cells
E1_P4_M81_L001	CD8_G cells
E2_P1_M81_L001	CD4 T.reg cells
E2_P2_M81_L001	CD8_B cells
E2_P3_M81_L001	CD8_B cells
E3_P1_M81_L001	CD4 T.mem cells
E3_P2_M81_L001	NK2 cells
E3_P4_M81_L001	CD4 T.reg cells
E4_P2_M81_L001	CD8_G cells
E4_P3_M81_L001	NK2 cells
E4_P4_M81_L001	unclustered
E5_P1_M81_L001	B cells
E5_P2_M81_L001	CD4 T.reg cells
E5_P3_M81_L001	CD4 T.mem cells
E5_P4_M81_L001	CD4 T.reg cells
E6_P1_M81_L001	CD8_G cells
E6_P2_M81_L001	CD4 T.mem cells
E6_P3_M81_L001	CD8_G cells
E6_P4_M81_L001	NK2 cells
E7_P1_M81_L001	CD4 T.reg cells
E7_P2_M81_L001	CD4 T.reg cells
E7_P4_M81_L001	CD4 T.mem cells
E8_P1_M81_L001	CD4 T.mem cells
E8_P2_M81_L001	NK2 cells
