Cell Name,Cluster,ruoyi_cluster
B8_P2_M55_L001,CD8_G,CD8_G
B8_P3_M55_L001,CD8_G,NA
B8_P4_M55_L001,CD8_B,NA
B9_P1_M55_L001,CD8_B,CD8_B
B9_P4_M55_L001,CD8_B,CD8_B
C10_P1_M55_L001,CD8_B,CD8_B
C10_P4_M55_L001,CD8_G,CD8_G
C11_P3_M55_L001,CD8_B,CD8_B
C12_P2_M55_L001,CD8_B,CD8_B
C12_P3_M55_L001,CD8_B,CD8_B
C1_P2_M55_L001,CD8_G,CD8_G
C1_P3_M55_L001,CD8_B,CD8_B
C1_P4_M55_L001,CD8_B,CD8_B
C2_P4_M55_L001,CD8_B,NA
C3_P3_M55_L001,CD8_B,CD8_B
C4_P2_M55_L001,CD8_B,CD8_B
C5_P1_M55_L001,CD8_B,CD8_B
C5_P3_M55_L001,CD8_B,CD8_B
C6_P2_M55_L001,CD8_B,CD8_B
C6_P3_M55_L001,CD8_G,CD8_G
C7_P1_M55_L001,CD8_B,CD8_B
C7_P2_M55_L001,CD8_B,CD8_B
C7_P3_M55_L001,CD8_G,NA
C8_P4_M55_L001,CD8_B,CD8_B
C9_P4_M55_L001,CD8_B,CD8_B
D11_P1_M55_L001,CD8_B,CD8_B
D11_P2_M55_L001,CD8_B,CD8_B
D11_P3_M55_L001,CD8_B,CD8_B
D12_P4_M55_L001,CD8_G,CD8_G
D1_P1_M55_L001,CD8_G,NA
D1_P2_M55_L001,CD8_B,CD8_B
D1_P3_M55_L001,CD8_B,NA
D1_P4_M55_L001,CD8_B,CD8_B
D2_P1_M55_L001,CD8_B,CD8_B
D2_P2_M55_L001,CD8_B,CD8_B
D2_P3_M55_L001,CD8_B,CD8_B
D2_P4_M55_L001,CD8_B,CD8_B
D3_P2_M55_L001,CD8_B,CD8_B
D3_P3_M55_L001,CD8_G,CD8_G
D4_P3_M55_L001,CD8_B,CD8_B
D4_P4_M55_L001,CD8_B,CD8_B
D5_P2_M55_L001,CD8_B,CD8_B
D5_P3_M55_L001,CD8_G,CD8_G
D7_P1_M55_L001,CD8_B,CD8_B
D7_P3_M55_L001,CD8_B,CD8_B
D7_P4_M55_L001,CD8_B,CD8_B
D8_P1_M55_L001,CD8_B,CD8_B
D8_P3_M55_L001,CD8_B,CD8_B
D8_P4_M55_L001,CD8_B,CD8_B
D9_P4_M55_L001,CD8_B,CD8_B
E10_P1_M55_L001,CD8_G,NA
E10_P3_M55_L001,CD8_G,CD8_G
E11_P1_M55_L001,CD8_B,CD8_B
E12_P1_M55_L001,CD8_B,CD8_B
E12_P3_M55_L001,CD8_B,CD8_B
E12_P4_M55_L001,CD8_G,CD8_G
E1_P4_M55_L001,CD8_B,CD8_B
E2_P2_M55_L001,CD8_B,CD8_B
E2_P3_M55_L001,CD8_B,CD8_B
E3_P2_M55_L001,CD8_B,CD8_B
E3_P4_M55_L001,CD8_B,CD8_B
E4_P1_M55_L001,CD8_G,CD8_G
E4_P2_M55_L001,CD8_B,CD8_B
E5_P4_M55_L001,CD8_B,CD8_B
E6_P2_M55_L001,CD8_B,CD8_B
E7_P1_M55_L001,CD8_B,CD8_B
E7_P3_M55_L001,CD8_G,CD8_G
E8_P1_M55_L001,CD8_G,CD8_G
E8_P2_M55_L001,CD8_G,CD8_G
E9_P3_M55_L001,CD8_B,CD8_B
E9_P4_M55_L001,CD8_G,CD8_G
F10_P1_M55_L001,CD8_B,CD8_B
F10_P2_M55_L001,CD8_B,CD8_B
F10_P4_M55_L001,CD8_B,CD8_B
F11_P1_M55_L001,CD8_G,CD8_G
F11_P2_M55_L001,CD8_B,CD8_B
F12_P2_M55_L001,CD8_B,CD8_B
F12_P3_M55_L001,CD8_B,CD8_B
F1_P3_M55_L001,CD8_G,CD8_G
F1_P4_M55_L001,CD8_G,CD8_G
F3_P2_M55_L001,CD8_B,CD8_B
F5_P2_M55_L001,CD8_B,CD8_B
F7_P1_M55_L001,CD8_B,CD8_B
F8_P2_M55_L001,CD8_B,CD8_B
F8_P3_M55_L001,CD8_B,CD8_B
F9_P1_M55_L001,CD8_B,CD8_B
G10_P3_M55_L001,CD8_B,CD8_B
G10_P4_M55_L001,CD8_G,CD8_G
G12_P1_M55_L001,CD8_B,CD8_B
G1_P3_M55_L001,CD8_B,CD8_B
G2_P2_M55_L001,CD8_G,CD8_G
G3_P1_M55_L001,CD8_G,CD8_G
G3_P4_M55_L001,CD8_B,CD8_B
G4_P1_M55_L001,CD8_G,NA
G4_P2_M55_L001,CD8_B,CD8_B
G4_P3_M55_L001,CD8_B,NA
G5_P2_M55_L001,CD8_B,CD8_B
G5_P3_M55_L001,CD8_G,CD8_G
G6_P1_M55_L001,CD8_B,CD8_B
G6_P2_M55_L001,CD8_B,CD8_B
G6_P4_M55_L001,CD8_B,CD8_B
G7_P1_M55_L001,CD8_B,CD8_B
G7_P3_M55_L001,CD8_G,CD8_G
G8_P1_M55_L001,CD8_B,CD8_B
G8_P2_M55_L001,CD8_B,CD8_B
G8_P3_M55_L001,CD8_B,CD8_B
G8_P4_M55_L001,CD8_G,CD8_G
G9_P1_M55_L001,CD8_B,CD8_B
G9_P2_M55_L001,CD8_B,CD8_B
G9_P3_M55_L001,CD8_B,CD8_B
G9_P4_M55_L001,CD8_B,NA
H10_P1_M55_L001,CD8_B,CD8_B
H10_P4_M55_L001,CD8_G,NA
H11_P1_M55_L001,CD8_G,CD8_G
H11_P3_M55_L001,CD8_B,CD8_B
H12_P3_M55_L001,CD8_B,NA
H1_P1_M55_L001,CD8_G,CD8_G
H1_P2_M55_L001,CD8_B,CD8_B
H1_P4_M55_L001,CD8_B,NA
H2_P1_M55_L001,CD8_B,CD8_B
H2_P2_M55_L001,CD8_B,CD8_B
H2_P4_M55_L001,CD8_B,CD8_B
H3_P1_M55_L001,CD8_B,CD8_B
H3_P4_M55_L001,CD8_B,CD8_B
H4_P3_M55_L001,CD8_G,CD8_G
H5_P1_M55_L001,CD8_B,CD8_B
H5_P2_M55_L001,CD8_B,CD8_B
H5_P3_M55_L001,CD8_B,CD8_B
H6_P1_M55_L001,CD8_B,CD8_B
H6_P2_M55_L001,CD8_B,CD8_B
H7_P4_M55_L001,CD8_G,CD8_G
H8_P1_M55_L001,CD8_G,CD8_G
H8_P3_M55_L001,CD8_B,CD8_B
H8_P4_M55_L001,CD8_B,CD8_B
H9_P1_M55_L001,CD8_B,CD8_B
H9_P3_M55_L001,CD8_B,CD8_B
H9_P4_M55_L001,CD8_B,CD8_B
A10_P3_M34,CD8_B,CD8_B
A11_P4_M34,CD8_B,CD8_B
A12_P2_M34,CD8_B,CD8_B
A12_P3_M34,CD8_B,NA
A12_P4_M34,CD8_B,CD8_B
A2_P2_M34,CD8_B,CD8_B
A2_P4_M34,CD8_G,CD8_G
A3_P1_M34,CD8_G,CD8_G
A3_P2_M34,CD8_G,CD8_G
A3_P4_M34,CD8_B,NA
A4_P2_M34,CD8_B,CD8_B
A4_P3_M34,CD8_B,CD8_B
A4_P4_M34,CD8_B,CD8_B
A5_P3_M34,CD8_G,CD8_G
A6_P2_M34,CD8_B,CD8_B
A7_P3_M34,CD8_B,NA
A8_P1_M34,CD8_G,CD8_G
A8_P2_M34,CD8_G,CD8_G
A8_P4_M34,CD8_G,CD8_G
A9_P3_M34,CD8_G,CD8_G
A9_P4_M34,CD8_B,CD8_B
B10_P1_M34,CD8_B,CD8_B
B10_P4_M34,CD8_B,CD8_B
B11_P1_M34,CD8_B,CD8_B
B11_P2_M34,CD8_B,CD8_B
B12_P1_M34,CD8_B,CD8_B
B12_P2_M34,CD8_G,CD8_G
B12_P4_M34,CD8_B,CD8_B
